
"03/07/2020 13:47:15"
"Observation"	"CO2B um/m"	"Integral"	"Peak"
1285	548.36	0	0
1286	548.31	0	0
1287	547.84	0	0
1288	546.79	0	0
1289	545.04	0	0
1290	543.77	0	0
1291	542.83	0	0
1292	542.27	0	0
1293	541.00	0	0
1294	539.56	0	0
1295	538.16	0	0
1296	537.90	0	0
1297	538.25	0	0
1298	538.22	0	0
1299	538.59	0	0
1300	539.27	0	0
1301	540.10	0	0
1302	540.64	0	0
1303	541.11	0	0
1304	541.72	0	0
1305	541.71	0	0
1306	541.72	0	0
1307	541.51	0	0
1308	541.92	0	0
1309	542.77	0	0
1310	543.21	0	0
1311	544.21	0	0
1312	545.63	0	0
1313	546.85	0	0
1314	547.65	0	0
1315	547.39	0	0
1316	546.05	0	0
1317	544.37	0	0
1318	542.50	0	0
1319	541.28	0	0
1320	540.69	0	0
1321	540.59	0	0
1322	541.36	0	0
1323	543.53	0	0
